Round,Pick,FantasyTeam,Name,team,Pos.
1,1,Mac,,,
1,2,Take a Lachance on me,,,
1,3,What the Helena,,,
1,4,Jordan,,,
1,5,Meth Rhett,,,
1,6,Zeev Buium,,,
1,7,HYHusky,,,
1,8,Graham,,,
1,9,All Aboard the Cole Train,,,
1,10,Puck Stops Here,,,
1,11,LaSoiréeDuHockeyMolson,,,
1,12,Mike is gonna Ryder Dyck,,,
2,1,Mike is gonna Ryder Dyck,,,
2,2,LaSoiréeDuHockeyMolson,,,
2,3,Puck Stops Here,,,
2,4,All Aboard the Cole Train,,,
2,5,Graham,,,
2,6,HYHusky,,,
2,7,Zeev Buium,,,
2,8,Meth Rhett,,,
2,9,Jordan,,,
2,10,What the Helena,,,
2,11,Take a Lachance on me,,,
2,12,Mac,,,
3,1,Mac,,,
3,2,Take a Lachance on me,,,
3,3,What the Helena,,,
3,4,Jordan,,,
3,5,Meth Rhett,,,
3,6,Zeev Buium,,,
3,7,HYHusky,,,
3,8,Graham,,,
3,9,All Aboard the Cole Train,,,
3,10,Puck Stops Here,,,
3,11,LaSoiréeDuHockeyMolson,,,
3,12,Mike is gonna Ryder Dyck,,,
4,1,Mike is gonna Ryder Dyck,,,
4,2,LaSoiréeDuHockeyMolson,,,
4,3,Puck Stops Here,,,
4,4,All Aboard the Cole Train,,,
4,5,Graham,,,
4,6,HYHusky,,,
4,7,Zeev Buium,,,
4,8,Meth Rhett,,,
4,9,Jordan,,,
4,10,What the Helena,,,
4,11,Take a Lachance on me,,,
4,12,Mac,,,
5,1,Mac,,,
5,2,Take a Lachance on me,,,
5,3,What the Helena,,,
5,4,Jordan,,,
5,5,Meth Rhett,,,
5,6,Zeev Buium,,,
5,7,HYHusky,,,
5,8,Graham,,,
5,9,All Aboard the Cole Train,,,
5,10,Puck Stops Here,,,
5,11,LaSoiréeDuHockeyMolson,,,
5,12,Mike is gonna Ryder Dyck,,,
6,1,Mike is gonna Ryder Dyck,,,
6,2,LaSoiréeDuHockeyMolson,,,
6,3,Puck Stops Here,,,
6,4,All Aboard the Cole Train,,,
6,5,Graham,,,
6,6,HYHusky,,,
6,7,Zeev Buium,,,
6,8,Meth Rhett,,,
6,9,Jordan,,,
6,10,What the Helena,,,
6,11,Take a Lachance on me,,,
6,12,Mac,,,
7,1,Mac,,,
7,2,Take a Lachance on me,,,
7,3,What the Helena,,,
7,4,Jordan,,,
7,5,Meth Rhett,,,
7,6,Zeev Buium,,,
7,7,HYHusky,,,
7,8,Graham,,,
7,9,All Aboard the Cole Train,,,
7,10,Puck Stops Here,,,
7,11,LaSoiréeDuHockeyMolson,,,
7,12,Mike is gonna Ryder Dyck,,,
8,1,Mike is gonna Ryder Dyck,,,
8,2,LaSoiréeDuHockeyMolson,,,
8,3,Puck Stops Here,,,
8,4,All Aboard the Cole Train,,,
8,5,Graham,,,
8,6,HYHusky,,,
8,7,Zeev Buium,,,
8,8,Meth Rhett,,,
8,9,Jordan,,,
8,10,What the Helena,,,
8,11,Take a Lachance on me,,,
8,12,Mac,,,
9,1,Mac,,,
9,2,Take a Lachance on me,,,
9,3,What the Helena,,,
9,4,Jordan,,,
9,5,Meth Rhett,,,
9,6,Zeev Buium,,,
9,7,HYHusky,,,
9,8,Graham,,,
9,9,All Aboard the Cole Train,,,
9,10,Puck Stops Here,,,
9,11,LaSoiréeDuHockeyMolson,,,
9,12,Mike is gonna Ryder Dyck,,,
10,1,Mike is gonna Ryder Dyck,,,
10,2,LaSoiréeDuHockeyMolson,,,
10,3,Puck Stops Here,,,
10,4,All Aboard the Cole Train,,,
10,5,Graham,,,
10,6,HYHusky,,,
10,7,Zeev Buium,,,
10,8,Meth Rhett,,,
10,9,Jordan,,,
10,10,What the Helena,,,
10,11,Take a Lachance on me,,,
10,12,Mac,,,
11,1,Mac,,,
11,2,Take a Lachance on me,,,
11,3,What the Helena,,,
11,4,Jordan,,,
11,5,Meth Rhett,,,
11,6,Zeev Buium,,,
11,7,HYHusky,,,
11,8,Graham,,,
11,9,All Aboard the Cole Train,,,
11,10,Puck Stops Here,,,
11,11,LaSoiréeDuHockeyMolson,,,
11,12,Mike is gonna Ryder Dyck,,,
12,1,Mike is gonna Ryder Dyck,,,
12,2,LaSoiréeDuHockeyMolson,,,
12,3,Puck Stops Here,,,
12,4,All Aboard the Cole Train,,,
12,5,Graham,,,
12,6,HYHusky,,,
12,7,Zeev Buium,,,
12,8,Meth Rhett,,,
12,9,Jordan,,,
12,10,What the Helena,,,
12,11,Take a Lachance on me,,,
12,12,Mac,,,
13,1,Mac,,,
13,2,Take a Lachance on me,,,
13,3,What the Helena,,,
13,4,Jordan,,,
13,5,Meth Rhett,,,
13,6,Zeev Buium,,,
13,7,HYHusky,,,
