week,home_team,away_team,home_team_points,away_team_points
1,Terrier Town,Take a Lachance on me,,
1,What the Helena,Mike is gonna Ryder Dyck,,
1,Bring back the Thrashers,Zeev Buium,,
1,Meth Rhett,LaSoiréeDuHockeyMolson,,
1,HYHusky,All Aboard the Cole Train,,
1,Team G,Puck Stops Here,,
2,Terrier Town,What the Helena,,
2,Take a Lachance on me,Mike is gonna Ryder Dyck,,
2,Bring back the Thrashers,Team G,,
2,Meth Rhett,All Aboard the Cole Train,,
2,Zeev Buium,HYHusky,,
2,Puck Stops Here,LaSoiréeDuHockeyMolson,,
3,Terrier Town,Bring back the Thrashers,,
3,Take a Lachance on me,Team G,,
3,What the Helena,Meth Rhett,,
3,Zeev Buium,All Aboard the Cole Train,,
3,HYHusky,Puck Stops Here,,
3,LaSoiréeDuHockeyMolson,Mike is gonna Ryder Dyck,,
4,Terrier Town,Meth Rhett,,
4,Take a Lachance on me,Puck Stops Here,,
4,What the Helena,Bring back the Thrashers,,
4,Zeev Buium,Team G,,
4,HYHusky,Mike is gonna Ryder Dyck,,
4,All Aboard the Cole Train,LaSoiréeDuHockeyMolson,,
5,Terrier Town,Zeev Buium,,
5,Take a Lachance on me,All Aboard the Cole Train,,
5,What the Helena,LaSoiréeDuHockeyMolson,,
5,Bring back the Thrashers,Mike is gonna Ryder Dyck,,
5,Meth Rhett,Puck Stops Here,,
5,HYHusky,Team G,,
6,Terrier Town,HYHusky,,
6,Take a Lachance on me,Zeev Buium,,
6,What the Helena,All Aboard the Cole Train,,
6,Bring back the Thrashers,Meth Rhett,,
6,Team G,LaSoiréeDuHockeyMolson,,
6,Puck Stops Here,Mike is gonna Ryder Dyck,,
7,Terrier Town,Team G,,
7,Take a Lachance on me,Bring back the Thrashers,,
7,What the Helena,Zeev Buium,,
7,Meth Rhett,LaSoiréeDuHockeyMolson,,
7,HYHusky,LaSoiréeDuHockeyMolson,,
7,All Aboard the Cole Train,Puck Stops Here,,
8,Terrier Town,All Aboard the Cole Train,,
8,Take a Lachance on me,Meth Rhett,,
8,What the Helena,HYHusky,,
8,Bring back the Thrashers,LaSoiréeDuHockeyMolson,,
8,Zeev Buium,Puck Stops Here,,
8,Team G,Mike is gonna Ryder Dyck,,
9,Terrier Town,Puck Stops Here,,
9,Take a Lachance on me,LaSoiréeDuHockeyMolson,,
9,What the Helena,Team G,,
9,Bring back the Thrashers,HYHusky,,
9,Meth Rhett,Zeev Buium,,
9,All Aboard the Cole Train,Mike is gonna Ryder Dyck,,
10,Terrier Town,LaSoiréeDuHockeyMolson,,
10,Take a Lachance on me,HYHusky,,
10,What the Helena,Puck Stops Here,,
10,Bring back the Thrashers,All Aboard the Cole Train,,
10,Meth Rhett,Team G,,
10,Zeev Buium,Mike is gonna Ryder Dyck,,
11,Terrier Town,Mike is gonna Ryder Dyck,,
11,Take a Lachance on me,What the Helena,,
11,Bring back the Thrashers,Puck Stops Here,,
11,Meth Rhett,HYHusky,,
11,Zeev Buium,LaSoiréeDuHockeyMolson,,
11,Team G,All Aboard the Cole Train,,
12,Terrier Town,Take a Lachance on me,,
12,What the Helena,Mike is gonna Ryder Dyck,,
12,Bring back the Thrashers,Zeev Buium,,
12,Meth Rhett,LaSoiréeDuHockeyMolson,,
12,HYHusky,All Aboard the Cole Train,,
12,Team G,Puck Stops Here,,
