Name,Yr.,Pos.,Ht.,Wt.,YOB,Hometown,Last Team,team,held_by,Draft Year,Draft Team,Draft Round
Beau Janzig,So,D,6-1,205,2003,"Hermantown, Minn.",Minnesota (NAHL),air-force,, , ,-
Ren Morque,So,D,6-1,195,2003,"Grand Rapids, Minn.",Minnesota (NAHL),air-force,, , ,-
Will Jones,So,D,5-9,170,2004,"Brentwood, Tenn.",Powell River (BCHL),air-force,, , ,-
Simon Houge,Fr,D,5-8,170,2004,"Woodbury, Minn.",West Kelowna (BCHL),air-force,, , ,-
Jake Peterson,So,D,6-2,190,2003,"Rosemount, Minn.",Bismarck (NAHL),air-force,, , ,-
Cole Christian,Fr,F,5-9,170,2004,"Duluth, Minn.",Anchorage (NAHL),air-force,, , ,-
Anthony Yu,So,F,5-9,170,2004,"Baldwin Park, Calif.",Powell River (BCHL),air-force,, , ,-
Oliver Genest,Fr,F,6-1,195,2004,"Sanford, Maine",New Hampshire (NAHL),air-force,, , ,-
Cade Moxham,Fr,F,6-2,195,2004,"Calgary, Alb.",Aberdeen (NAHL),air-force,, , ,-
Mason McCormick,Sr,F,6-3,190,2001,"Verona, Wis.",Waterloo (USHL),air-force,, , ,-
Will Dawson,So,F,6-0,195,2003,"Traverse City, Mich.",Minot (NAHL),air-force,, , ,-
Owen Dubois,Jr,F,6-4,205,2002,"Madison, Wis.",Aberdeen (NAHL),air-force,, , ,-
Holt Oliphant,Sr,F,5-11,185,2001,"Northbrook, Ill.",Johnstown (NAHL),air-force,, , ,-
Calvin Beard,Fr,D,6-2,195,2005,"Southborough, Mass.",Powell (BCHL),air-force,, , ,-
Nolan Cunningham,Jr,D,6-2,185,2001,"Great Falls, Mont.",Fairbanks (NAHL),air-force,, , ,-
Hayden Nichol,Fr,F,6-2,195,2003,"Rochester, N.Y.",Shreveport (NAHL),air-force,, , ,-
Chris Hedden,Sr,D,6-0,197,2002,"Kalamazoo, Mich.",Omaha (USHL),air-force,, , ,-
Nick Sajevic,So,F,5-11,180,2003,"Shoreview, Minn.",Janesville (NAHL),air-force,, , ,-
Michael Kadlecik,So,F,6-0,170,2004,"Lansing, N.Y.",Odessa (NAHL),air-force,, , ,-
Sam Stitz,So,F,6-1,200,2003,"Perry Hall, Md.",Maryland (NAHL),air-force,, , ,-
Dominik Wasik,Jr,G,6-1,165,2002,"Superior, Wisc.",Steinback (MJHL),air-force,, , ,-
Zane Spaniol,Fr,G,6-3,190,2004,"Ham Lake, Minn.",Minnesota (NAHL),air-force,, , ,-
Carter Clafton,Jr,G,6-2,175,2002,"Grand Rapids, Minn.",Amarillo (NAHL),air-force,, , ,-
Toby Hopp,So,G,6-1,185,2004,"Maple Grove, Minn.",Northeast (NAHL),air-force,, , ,-
Dylan Krick,Fr,G,6-1,160,2005,"West Chester, Pa.",Cowichan Valley (BCHL),air-force,, , ,-
Will Staring,Jr,D,6-2,190,2003,"Springfield, Va.",Dubuque (USHL),air-force,, , ,-
Nick Remissong,Jr,F,6-0,185,2002,"Lake Forest, Ill.",Trail (BCHL),air-force,, , ,-
Nate Farrell,Fr,D,6-0,185,2004,"Wheaton, Ill.",Wisconsin (NAHL),air-force,, , ,-
Brendan Gibbons,Jr,F,6-2,200,2002,"South Kingstown, R.I.",Maine (NAHL),air-force,, , ,-
Aidan Willis,Fr,F,5-10,180,2005,"Farmington, Minn.",Salmon Arm (BCHL),air-force,, , ,-
Charles Panchisin,Fr,F,5-8,160,2004,-,Philadelphia (NAHL),air-force,, , ,-
Ethan Warrener,So,D,6-0,185,2003,"Calgary, Alb.",Trail (BCHL),alaska-anchorage,, , ,-
Joey Potter,Jr,D,5-10,185,2003,"Los Angeles, Calif.",Union (ECAC),alaska-anchorage,, , ,-
Isaac Menard,Fr,D,5-10,174,2004,"Trois-Rivières, Que.",Shawinigan (QMJHL),alaska-anchorage,, , ,-
Pavol Funtek,So,D,6-7,207,2003,"Bratislava, Slovakia",Minot (NAHL),alaska-anchorage,, , ,-
Brandon Lajoie,Sr,F,5-11,180,2001,"Eagle River, Alaska",St. Cloud (NAHL),alaska-anchorage,, , ,-
Camden Shasby,Fr,D,5-9,165,2004,"Anchorage, Alaska",Anchorage (NAHL),alaska-anchorage,, , ,-
Oren SHTROM,Fr,F,5-10,185,2004,"Dollard-des-Ormeaux, Que.",Kamloops (WHL),alaska-anchorage,, , ,-
Conor Cole,Sr,F,5-10,183,2001,"St. John's, Newf.",Maryland (NAHL),alaska-anchorage,, , ,-
Logan Acheson,Gr,D,5-11,173,2002,"Edmonton, Alb.",Bemidji State (CCHA),alaska-anchorage,, , ,-
Dylan Contreras,So,F,5-7,165,2003,"Yorba Linda, Calif.",Kenai (NAHL),alaska-anchorage,, , ,-
JP Steele,So,D,6-2,190,2003,"Franklin, Mich.",Maine (NAHL),alaska-anchorage,, , ,-
Luke Helgeson,Fr,D,6-0,205,2004,"Anchorage, Alaska",Colorado (NAHL),alaska-anchorage,, , ,-
Henry Bartle,Jr,F,6-2,185,2003,"Blaine, Minn.",Des Moines (USHL),alaska-anchorage,, , ,-
Dominic Foglia,Jr,D,6-1,185,2002,"Tinton Falls, N.J.",Colgate (ECAC),alaska-anchorage,, , ,-
Ryan Johnson,So,F,5-10,181,2003,"Calgary, Alb.",New Mexico (NAHL),alaska-anchorage,, , ,-
Bryce Monrean,So,F,6-0,185,2003,"Anchorage, Alaska",Anchorage (NAHL),alaska-anchorage,, , ,-
Judah Makway,Fr,F,6-3,190,2004,"Trail, B.C.",Trail (BCHL),alaska-anchorage,, , ,-
Nolan Gagnon,So,D,5-10,165,2003,"Metcalfe, Ont.",Amarillo (NAHL),alaska-anchorage,, , ,-
Adam Parsons,So,F,6-0,170,2003,"Port Moody, B.C.",Trail (BCHL),alaska-anchorage,, , ,-
Ben Anderson,Jr,F,6-5,209,2002,"Crystal, Minn.",Wisconsin (NAHL),alaska-anchorage,, , ,-
Aiden Westin,Jr,F,6-1,185,2002,"Anchorage, Alaska",Anchorage (NAHL),alaska-anchorage,, , ,-
David Jesus,Jr,D,6-4,187,2002,"Toronto, Ont.",Windsor (USports),alaska-anchorage,, , ,-
Tanyon Bajzer,Jr,F,5-11,185,2002,"Cleveland, Ohio",Odessa (NAHL),alaska-anchorage,, , ,-
Dimitry Kebreau,So,F,5-11,181,2003,"Silver Spring, Md.",Maryland (NAHL),alaska-anchorage,, , ,-
Tye Spencer,Fr,F,5-8,143,2004,"Saskatoon, Sask.",Wenatchee (WHL),alaska-anchorage,, , ,-
Tyler Krivtsov,So,G,6-2,190,2003,"Santa Clarita, Calif.",Fairbanks (NAHL),alaska-anchorage,, , ,-
Bryant Marks,So,G,5-11,174,2004,"Wasilla, Alaska",Corpus Christi (NAHL),alaska-anchorage,, , ,-
Greg Orosz,Jr,G,6-3,187,2002,"Gyõr, Hungary",Odessa (NAHL),alaska-anchorage,, , ,-
Luke Johnson,Sr,F,5-10,175,2001,"St. Cloud, Minn.",Alaska (Independents),alaska-anchorage,, , ,-
Karter McNarland,Jr,F,5-11,170,2003,"Saskatoon, Sask.",Powell (BCHL),alaska-anchorage,, , ,-
Carson Reed,So,D,6-1,200,2004,"Warroad, Minn.",Waterloo (USHL),alaska,, , ,-
Noah Barlage,So,D,6-0,185,2003,"Humboldt, Sask.",Madison (USHL),alaska,, , ,-
William Fleet,Fr,D,6-2,205,2004,"Denver, Colo.",Shreveport (NAHL),alaska,, , ,-
Jhett Larson,Fr,F,5-9,176,2004,"Delisle, Sask.",Red Deer (WHL),alaska,, , ,-
Jackson Anderson,Fr,D,6-2,170,2004,"Prior Lake, Minn.",Surrey (BCHL),alaska,, , ,-
Braden Birnie,Sr,F,6-2,195,2001,"Weyburn, Sask.",Steinbach (MJHL),alaska,, , ,-
Dean Spak,So,F,5-10,180,2003,"Calgary, Alb.",Okotoks (BCHL),alaska,, , ,-
William Lawson-Body,Jr,F,5-10,170,2002,"Grand Forks, N.D.",Oklahoma (NAHL),alaska,, , ,-
Haden Kruse,So,F,6-1,172,2003,"Nisswa, Minn.",Janesville (NAHL),alaska,, , ,-
Adam Cardona,Jr,D,6-2,200,2003,"Beaconsfield, Que.",Mass.-Lowell (HEA),alaska,, , ,-
Fyodor Nikolayenya,So,F,5-11,185,2003,"Minsk, Belarus",Anchorage (NAHL),alaska,, , ,-
Tommy Cronin,Fr,F,5-10,180,2004,"Edina, Minn.",Bismarck (NAHL),alaska,, , ,-
Dylan Sydor,So,F,5-10,180,2003,"Kamloops, B.C.",Calgary (USports),alaska,, , ,-
